Id	Buckwalter	Arabic	English	Meanings	BanglaMeanings
64	Alf	ألف	hamza lām fā	 he kept or clave to it, he frequented it, resorted to it  habitually, he became familiar with it or accustomed/habituated, became  sociable/companionable/friendly with him, liked/approved/amicable,  protect/safeguard, covenant/obligation involving responsibility for safety. to  unite or bring together, state of union/alliance/agreement, to cause union or  companionship, to collect/connect/join/conjoin. Become a thousand. A certain  rounded number that is well known.	
65	All	ألل	hamza lām lām		
66	Alm	ألم	hamza lām mīm	   in pain, suffered pain, express pain/grief/sorrow, lament	
67	Alh	أله	hamza lām hā	 to serve, worship or adore; to protect, grant refuge, preserve save, rescue,  liberate; object of worship ie God; (Alif-Lam-Lam-ha) God, the one true God  applied as a proper name denoting the true god, comprising all the excellent  divine names; a unity comprising all the essences of existing things.	
68	Alw	ألو	hamza lām wāw	   fall short of doing the requisite/flag/remiss, slow/tardy/languid/weak, did not  leave/quit/cease from/omit/neglect, swear, possessor, one who is superintended  an affair, as far as/until, in addition to/joined to any other thing, to me,  decreed against/revealed/on the	
69	Amt	أمت	hamza mīm tā	  to determine  or compute a thing's measure, quantity, or the like; A measure of distance;  doubt; feebleness or weakness; ruggedness, uneven ground, a hollow, or depressed  place, between any two elevated portions of ground; inequality of surface: one  part being higher, or more prominent, than another; small mounds or what is  elevated, of ground, small hills; some say, water-courses of valleys, such as  are low, or depressed; crookedness, curvature; A fault, a defect, an  imperfection, a blemish, or the like, in the mouth, and in a garment, or piece  of cloth, and in a stone.	
70	Amd	أمد	hamza mīm dāl	   time considered in regard to its end, utmost/extreme/extent /term, limits,  limited, remainder	
71	Amr	أمر	hamza mīm rā	 command/order/enjoin, authority/power/dominion,  counselled/advised/consulted, hold/appoint command, preside as a  commander/governor/prince/king, experienced, become many/abundant.	
72	Aml	أمل	hamza mīm lām	   hoped for it, expect, distant or remote expectation, clinging of the heart to  the coming to pass of a future desired event, affection of the heart for some  good to be attained, in respect of hope	
73	Amm	أمم	hamza mīm mīm	 ammina: to propose, direct one's steps towards a place, repair to, go  towards [5:2] ummun/umm: mother, source, principle, prototype, origin,  prototype; ummi: belonging to mother, unlettered, Arab, who have no revealed  scripture of their own; ummatun: a man's kinsfolk, tribe, party, community, nation, group of  living things having certain characteristics or circumstances in common, any  grouping of human or animal, creation, generation, creatures of God; ummah: way/course/manner/mode of acting, faith, religion, nation, , time  or period of time, righteous person, a person who is an object of imitation and  who is known for goodness/virtues; imam: leader, president, any object that is followed (e.g.  human/book/highway), model, example, pattern; amama: before, in front of [75:5]	
74	Amn	أمن	hamza mīm nūn	 become/feel safe/secure, state of security/safety, trust,  become quiet/tranquil in heart/mind, become free of expectation of evil or free  of an object of dislike/hatred, promise/assurance of security/safety, become  trustful/faithful/confident, to believe/acknowledge it, manifestation of  humility/submission	মানা, বিশ্বাসী, অনুগত, নিরাপদ বোধ করা,
75	Amw	أمو	hamza mīm wāw	 female/woman made/became a slave, handmaid, utter a cry,  follow/imitate.	
76	Anv	أنث	hamza nūn thā	  It was or  became female, feminine, or of the feminine gender; It was or became soft.	
77	Ans	أنس	hamza nūn sīn	  to be or  become sociable, companionable, conversable, inclined to company or  conversation, friendly, amicable, or familiar. To be or become cheered, or  gladdened or cheerful, gay, or gladsome. To be or become at ease, or tranquil;  without shrinking or aversion.	
78	Anf	أنف	hamza nūn fā	   Strike/hit/hurt one's nose, reach one's nose, trod or pasture herbage (camels),  turn up one's nose at something, disdain or scorn something, abstain from or  refuse to do something (by reason of disdain and pride), loath/dislike/regard  something with disgust, sharpen the extremity of something (such as a spear-head  or an arrow-head), induce someone to feel scorn/disdain/anger/indignation, haste  something (namely an affair), begin or commence, to anticipate something, take  the first of something (also to be the first in a thing or affair), most  vehement, be head of (Lord or Chief) a people, (with damma, K)  having a large nose (applied to a man), make even or evenly.	
79	Anm	أنم	hamza nūn mīm	  (this root is  compared to kha-lam-qaf) meaning mankind and the jinn and others : or what are  on  the face of  the earth of all that are termed  al-khalaq  or created or  everything having a soul or spirit.	
80	Any	أني	hamza nūn yā	  Its time came;  or it was, or became, or drew, near; It (a thing) was, or became, behind, or  after, its time; it, or he, (a man) was, or became, behind, backward, or late;  it, or he, delayed, or held back. He postponed it, put it off, deferred it,  delayed it, retarded it, withheld it, impeded it; An  hour, or a short portion, or a time, or an indefinite time; any period of time;  the utmost point, reach or degree; A thing of which the time has come, or drawn  near: and which has come, or attained, to its time; to its full, or final, time  or state; to maturity, or ripeness; signifies Whence? (being an interrogative  respecting the direction, or quarter, from which a thing is) and whence (used to  denote a condition); Where? and where (used to denote a condition and as  one of the adverbial nouns used to denote a condition), whence-so-ever; wherever  (from whatever direction or quarter): when; how; however.	
81	Ahl	أهل	hamza hā lām	   possessor/people of, one who recites, superintended/owner,  inhabitants/family/people of house or dwelling.	
82	Awb	أوب	hamza wāw bā	 to come back from, repent, set (stars), repeat, return (from  disobedience to obedience), echo, alight at night.	
83	Awd	أود	hamza wāw dāl	 to make tired, decline, incline towards its end.	
84	Awl	أول	hamza wāw lām	 To return, be before, come back to. To interpret [by consideration], explain.  To contract, withdraw, become. To preside over, hold command or authority. To  come to be. To put in a proper state/condition, or to compose [an affair]. To  resort to; namely [a thing of any kind; the thing  or place whence he or it originated, or came. His or its origin or source; his  or its original state, condition, quantity, weight; any place. A former action,  saying, or the like]. To return or restore to [ a thing, place, or  disposition]. To explain, expound, interpret [collecting the meanings of dubious  expressions by such expression as is clear, or plain, without dubiousness]. To  explain the meaning of that which is equivocal or ambiguous. To be seen from a  distance. 	
85	Awh	أوه	hamza wāw hā	 compassionate person, one who shows pity by frequently  sighing, one who sighs and cries.	
86	Awy	أوي	hamza wāw yā	 a verb with the addition of hamza and doubled in perfect. To  betake oneself for shelter, refuge or rest, have recourse to retire, alight at,  give hospitality to.	
87	Ayd	أيد	hamza yā dāl	 to support/strengthen/confirm.	
88	Aym	أيم	hamza yā mīm	 to be unmarried, single/widowed/divorced, one who lives in  celibacy.	
89	Ayy	أيي	hamza yā yā		
90	bAr	بأر	bā hamza rā	 sunk/dug, hollow/hole, hid/conceal it, stored it for time of    need, well.	
91	bAs	بأس	bā hamza sīn	 mighty/strong, distress/misfortune/calamity, state of poverty, evil/bad, very    evil, feigned lowliness/submissiveness, punishment, state of trial/affliction,    courage/valour/prowess.	
92	btr	بتر	bā tā rā	 cut    or cut off a thing before it was complete, without offspring/progeny, defective/deficient/incomplete/imperfect,    in want, poor, suffering or in loss, short, cut off from prosperity or good.	
93	btk	بتك	bā tā kāf	 to    sever/cut (off), plucked it out, part/portion/piece severed, very sharp, cutting    much/keenly.	
94	btl	بتل	bā tā lām	 cut it off, severed it, separate, was/became alone, detach oneself and devote,    devote exclusively, apply, striving, laboring or exerting, becoming wide between    the shoulders, obligatory or something made so.	
95	bvv	بثث	bā thā thā	 spread/dispersed/scattered, published/revealed.	
96	bjs	بجس	bā jīm sīn	 gush/burst forth, open a way/passage/vent, gave vent to it, made it flow.	
97	bHv	بحث	bā ḥā thā	    Digging, scraping, searching in the earth or dust   Searching, inquiring, investigating, scrutinizing, examining	
98	bHr	بحر	bā ḥā rā	   	
99	bxs	بخس	bā khā sīn	    diminish/lessen it, made it deficient/defective/faulty, deprive/defraud, act    wrongfully/unjustly.	
100	bxE	بخع	bā khā ʿayn	    kill oneself with grief/wrath/rage, exceed the ordinary bounds in subduing and    abasing themselves by obedience, doing anything to a great extent, in great    degree, egregiously or with much energy and effectiveness, consume/torment oneself.	
101	bxl	بخل	bā khā lām	    becoming or being stingy, miserly, niggardly or avaricious, withholding.	
102	bdA	بدأ	bā dāl hamza	    	
103	bdr	بدر	bā dāl rā	 become    full/grown/round, attained maturity, hastened/strove to be first, thing/event    came/happened to him speedily, a place in which wheat/grain is trodden out.	
104	bdE	بدع	bā dāl ʿayn	    creator, innovation, new, invent.	
105	bdl	بدل	bā dāl lām	 changing/altering -&gt; with or without substitution, replacing/exchanging.	
106	bdn	بدن	bā dāl nūn	    become big/bulky/big-bodied, corpulent, become aged/weak/heavy, coat of mail,    body without head/arms/legs, body without soul, cow/camel/bull/goat, animals    of sacrifice/slaughter.	
107	bdw	بدو	bā dāl wāw	   	
108	b*r	بذر	bā dhāl rā	    scatter/disperse, (e.g. sowed seed, cast grain), diffused/disseminated, divulge/reveal,    extravagant in expenditure, babbling, dissipated/squandered, destroyed/consumed/wasted/ruined,    frivolous, false/vain/ineffectual, many/much/abundant/plenty/increase.	
109	brA	برأ	bā rā hamza	  became/was clear/free of a thing, to quit it, become irresponsible for it,  guiltless of it, remove oneself from a thing, kept far or aloof (e.g. from  unclean things), state of freedom/immunity/security/safety. Convalescent/sound/healthy, cure/heal, recover/restore. Create/produce, former/fashioner. He compounded or made a compromise with him for their mutual separation. Mankind/creation/beings/things that are created.	
110	brj	برج	bā rā jīm	 Anything being,    becoming apparent, manifest, conspicuous and/or high or elevated   A structure, tower, fortress or walls of a city, a structure or construction    that has the characteristics of conspicuousness, height and strength   A woman showing or displaying finery, ornaments, form or countenance to men    or strangers conspicuously   A sign of the Zodiac, mansions/stations of the moon, or the stars/constellations,    gates of heaven metaphorically   Constitution of the eye which is such that the white entirely surrounds the    black part and no part of the black being concealed or the clearness of the    parts, or the width and largeness of the eyeball   A large and liberal disposition   A vessel or receptacle in which milk is churned or in which the butter of the    milk is extracted by agitation   A garment having figures of towers/walls of a city etc	
111	brH	برح	bā rā ḥā	 go    away, depart, withdraw, to give up or leave/cease/quit, angry, annoy/distress/difficulty/adversity,    hurt/fatigue.	
112	brd	برد	bā rā dāl	 make    cold/chilly/cool, died, cessation of motion, become still/quiet/motionless,    amazed/stupefied, became permanent/fixed/settled, became lean/emaciated/weak,    slept, hail/snow, beverage that cools the heat of thirst.	
113	brr	برر	bā rā rā	 Being pious, kind,    good, gentle, affectionate, beneficent, just, righteous, virtuous, honest, true,    veracious, sweet of speech, merciful   Siinlessly performing something   Recompensing, rewarding for obedience, accepting and/or approving   Driving or calling sheep/goats   Verifying or proving an oath true   One who overcomes, overcoming someone with good actions or speech   Overcoming an adversary or overcoming by evil   Talking too much, confused clamor, noise, crying out, talking in anger or confusion,    talking unprofitably   Ampleness, largeness or extensiveness   Land or elevated ground open to view, out of doors or exposed to view   Wheat, grain/s of wheat or coarsely ground flour   Obedience   Certain kind of fruit   Good, sweet or pleasant word expression or saying   Of, belonging to or relating to the land and or the desert/waste   External, outward, apparent or public   A proper name of a certain people from El Maghrib (north of Africa and west    of Egypt)   A truly and honestly executed sale	
114	brz	برز	bā rā zāy	 went/came/passed    out/forth, issued, appeared, became apparent/manifest/evident, became prominent/projecting,    put forth, produce/publish, uncovered, outstrip/surpass, go beyond a thing,    a man characterized by pleasing/goodly aspect and by intelligence, a field or    wide expanse of land without trees.	
115	brS	برص	bā rā ṣād	 become    affected with leprosy, shaved head, turning white.	
116	brq	برق	bā rā qāf	 Shing, gleaming    or glistening (e.g. the dawn, a sword)   Lightning   Threatening or menacing   A female beautifying and adorning herself or showing and presenting herself    and/or exhibiting her beauty   A star rising or a constellation (e.g. Pleiades)   Eyes/sight glistening, fixedly open (e.g. by reason of fright), sights confused,    astonished, stupefied or dazzled, sight becoming weak, opening eyes and looking    hard, intently or sharply   Decorating or adorning (e.g. a place)   Journeying far   Rugged ground in which stones, sand and earth are mixed together (the stones    being of mixed/varied colors on whitish earth)   A mountain mixed with sand   Locusts with variegated colors   A certain type of beast the apostle rode on the ascension to heaven called so    because of the hue, brightness and quickness of motion it had akin to lightning   A certain kind of plant camels feed on in times of necessity   Anything having blackness and whiteness together   An ewer having a long slender spout and a handle   A bow with different colors   Silk brocade closely woven with gold or closely woven cloth of thick silk   Thickness	
117	brk	برك	bā rā kāf	 Lying down, kneeling    or with legs folded making the chest touch the ground, falling upon the chest   To be or to become firm, steady, steadfast, fixed, continue, remain or stay    in place   Praying for someone or something, or blessings, felicitations, prospering and    abounding in good (e.g. on food, or the saying God bless you)   Keeping or applying constantly or persevering in something (e.g. affairs, commerce    etc)   Extolling God and His attributes, exalting God and/or magnifying God   Striving, laboring and/or exerting oneself   An ancient name of the months   A blessing, any good bestowed by God, increase, abundance and/or plenty.	
118	brm	برم	bā rā mīm	    became affected with disgust/loathing/aversion, to contrive/fix/determine, make    it firm/solid/strong/sound, established/settled/arranged it firmly/strongly/thoroughly,    he thought/meditated/considered it.	
119	brhn	برهن	bā rā hā nūn	 evidence/proof.	
120	bzg	بزغ	bā zāy ghayn	 rise or come forth (normally applied to the sun/moon), flow/spread.	
121	bsr	بسر	bā sīn rā	    frown, contract one's face, grinned, looking morosely/sternly, look with intense    dislike/hatred, scowl.	
122	bss	بسس	bā sīn sīn	 breaking, breaking in pieces, mixed it, broke/crumble/bruise/bray it, become    dust, leveled, stirred about, moistened.	
123	bsT	بسط	bā sīn ṭā	 Spreading, spreading    out or forth, expanding, making wide or ample, stretching forth, extending and/or    dilating   Conversing or acting without shyness, boldly, in a free and easy manner and/or    cheerfully   Going forth or journeying   Rejoicing, joyous and/or cheerful   Emboldened, presumptuous, forward and/or arrogant   Carpets, seller of   Simple or uncompounded   God who amplifies, enlarges or makes plentiful the means of subsistence, one    who diffuses (e.g. souls in the bodies)	
124	bsq	بسق	bā sīn qāf	    tall, full grown, overcame/surpassed, excelled, became superior / exalted above.	
125	bsl	بسل	bā sīn lām	    act of preventing/hindering/withholding/debarring/forbidding/prohibiting, become    odious/hideous/unseemly in aspect, altered/corrupted, consign to destruction/punishment/disgrace,    gave him up, being beaten, dislike, frowning.	
126	bsm	بسم	bā sīn mīm	 smile, laugh a little but without sound, part lips to show teeth.	
127	b$r	بشر	bā shīn rā	 Skin/Pare/Strip/Skin    Contact/Epidermis (or insides)   Complexion/Hue-&gt;Delicacy, fineness of   Beauty/Elegance of form/Bright cheerful countenance   Rejoiced/Rejoicing/Good, good tidings, glad tidings/Announcements (bearer of),    proclaiming, commencement, beginnings of anything/Indications/Streaks (daylight    breaking, wind over land)   Conducting, managing affairs personally.   Lie with, to go in unto.   Mankind, Human beings, Lowest/basest/meanest sort of people, Perfect man (combining    gentleness with strength).	
128	bTA	بطأ	bā ṭā hamza	    become slow/tardy/dilatory/late/backward, sluggish, delayed.	
129	bT$	بطش	bā ṭā shīn	 An assault, violent    seizure   Seizing violently, assaulting vehemently or in anger   Taking hold of something, clinging to something   Working laboring or wrought (with hands)   Recovering   Laboring, striving, and struggling to overcome   Might or strength in war or fight, courage/valor, valiantness or prowess   Place of assault	
130	bTn	بطن	bā ṭā nūn	 Becoming fat,    Midriff, stomach, belly, girth, abdomen   Becoming replete, sated   A belly ache or being disordered digestively   Exulting greatly and/or excessively, behaving insolently and ungratefully   Striking or beating the belly   Disease entering (as though it penetrated through the belly)   Entering into something (e.g. a valley, affair)   Penetrating mentally or knowing something (state, news, circumstances, affair,    case)   Something becoming hidden or unapparent, esoteric, concealed or covert   A lining or inner covering, inside or interior of anything, inner story   Particular or special intimate, friend or associate   Going in the middle or midst of something (e.g. meadow, garden, news)   A far extending place of whose parts are remote from the other   Bringing forth of young   Excrement or ejection of   Lower or lowest part of the foundation, low depressed land, soft parts of the    land where water stagnates   Palm of the hand, sole of the foot/hoof   Armpit hollow of the arm, hollow of the throat   Apparent, visible part of the sky   Having an inordinate desire or appetite for food   One of the mansions/stations of the moon, the 2nd. Three small stars in the    form of an equilateral triangle forming the belly of the Ram/Aries.   Certain vessel made of glass or earthenware (an amphora, jar, vase, and pitcher)   Inward.	
131	bEv	بعث	bā ʿayn thā	    	
132	bEvr	بعثر	bā ʿayn thā rā	 scatter abroad, turn upside down, to overthrow.	
133	bEd	بعد	bā ʿayn dāl	    	
134	bEr	بعر	bā ʿayn rā	 camel.	
135	bEl	بعل	bā ʿayn lām	   	
136	bgt	بغت	bā ghayn tā	 Suddenly, unexpectedly,    unawares, surprisingly or with previous cause   A festival, namely Easter   Confounded, perplexed or unable to see straight	
137	bgD	بغض	bā ghayn ḍād	   	
138	bgl	بغل	bā ghayn lām	 Affecting or showing    stupidity, dullness or want of intelligence   Being submissive, humble   Big, thick, rude, hard, strong, sturdy in body or physically   Animals going in a gentle manner   Mule(s)	
139	bgy	بغي	bā ghayn yā	   	
140	bqr	بقر	bā qāf rā	      Slit, ripped, split cut or divided lengthwise   Opening, laying open, widening   Revealing (e.g. story, or an animal's insides)   Inquiring to the utmost after sciences or knowledge   Being astonished, amazed, stupefied at seeing something or confounded, confused,    perplexed, tired or fatigued, weary or jaded   Ox, bull and cow (bovine genus) both domesticated and wild   A species of grape that is large, black and round and a species of plum in Palestine   Owner or possessor of oxen/bulls/cows   A strong staff/stick (e.g. for driving herds)   A sedition, discord or dissention that severs society, corrupts religion and    separates men, or something wide spreading/reaching and great   Abundance of wealth/commodities	
141	bqE	بقع	bā qāf ʿayn	    black&amp;white, sprinkling water/liquid so that some parts are made wet, calamity/misfortune,    assailed with foul/bad speech/language/slander, going away quickly or running/ran,    color changing due to sorrow or grief, discoloration or mixture of colors, anything    bad, evil, mischievous, ill omened.   (buqAAat) a place in which water remains or stagnates, a piece/part/portion/plot    of land differing in colour/appearance / external state/condition from that    which enjoins or next to it, a patch of herbage, a small portion of any surface    different from what surrounds it, a wide/spacious place in which there are trees,    land containing small pebbles.   A bird that is cautious, wary, cunning, and wily who only drinks from a place    where the water stagnates and not a watering place used by the animals and/or    humans, anyone that is cautious, wary or cunning, willy and skilful, mirage.	
142	bql	بقل	bā qāf lām	    herbs/plants/herbage, vegetables, trees/shrubs.	
143	bqy	بقي	bā qāf yā	 Something or someone    that remains, continues, lasts and/or endures   Perpetual or permanent   Existing, incessantly, always, endlessly or forever   Watching, observing, guarding or preserving   Pardoning, leaving, showing mercy or sparing   Remaining portion, remainder, remnant, relic, residue, remains, recompense	
144	bkr	بكر	bā kāf rā	 Beginning of the    day, first part of the day, early morning, between daybreak and sunrise   Possessing the quality of applying oneself early, or in hastening   Performing something at the commencement of it, or doing something early   Before it's time, preceding or took precedence   Youthful male camel, young one of a camel   A virgin male or female, or anything untouched, new, fresh   Virginity or maidenhead   A woman or female animal having delivered only once   First flush of anything (plant, tree, fruit, honey, rain, flowers)   First born or young children   First of anything, unique action   A want or need seeking to be fulfilled   A cutting blow or stroke that kills at once   A pulley (e.g. of a well)   Small ring or bead   An assembly, company, congregated body   All coming together without exception	
145	bkm	بكم	bā kāf mīm	    dumb (either by natural conformation or from an inability to find words to express    himself), no understanding to reply, no ability to frame speech well though    possessing the faculty of speech, refrain/cease speaking intentionally or from    ignorance, impeded speech, unable to speak freely.	
146	bky	بكي	bā kāf yā	 wept,    lamented/grieved, shed tears, crying, cause to weep, rain, unable to speak.	
147	bld	بلد	bā lām dāl	 A country, land,    region, province, district, territory, city, town, village or any portion of    earth or land within certain limits   Tract of land without vegetation, pasture   Waterless desert, desolate place   Earth or ground.   Remaining, staying, abiding, dwelling in the country/place/land/town/city/village    etc   Keeping to something, having something remain (e.g. like marks on the skin)   Becoming stupid, dull, wanting in intelligence/vigor, inert, soft, weak, feeble,    not effective in performance, lagging behind, becoming languid, lazy, impotent    in work   Cast, or lay down on the ground maybe due to fatigue or weakness   Regions appearing short in extent due to darkness, or low visibility   Keeping, falling to the ground in submissiveness, keeping in place, being submissive    and humble   Obtaining, exercising dominion over land belonging to others	
148	bls	بلس	bā lām sīn	    despair, give up hope, become broken (in spirit), mournful, become silent/confounded/perplexed    unable to see right way or course, repent/grieve.	
149	blE	بلع	bā lām ʿayn	 swallow (without    chewing), gulp, voracious or great eater   Grayness.   Hole of perforation in the midst of a house, into which rainwater or just water    descends   A well cased with stones or baked bricks.   One of the mansions/stations of the moon, namely the 23rd which apparently rose    aurorally consisting of two stars near together, one dim and the other bright.    So called because one appears to swallow the other. According to Lane's calculations    it rose in Arabia in the start of the Hijri on the 29th January and set on the    30th of July.	
